Timestamp,Temperature (in Celsius),Pressure (in MPa)
16:21:37,30.06,0.106
16:21:38,30.06,0.108
16:21:38,30.06,0.107
16:21:39,30.12,0.107
16:21:39,30.06,0.109
16:21:40,30.12,0.104
16:21:40,30.12,0.108
16:21:41,30.19,0.109
16:21:41,30.19,0.104
16:21:42,30.19,0.109
16:21:42,30.25,0.108
16:21:43,30.25,0.106
16:21:43,30.25,0.105
16:21:44,30.25,0.109
16:21:44,30.31,0.109
16:21:45,30.31,0.109
16:21:45,30.31,0.106
16:21:46,30.37,0.105
16:21:46,30.37,0.109
16:21:46,30.37,0.109
16:21:47,30.44,0.107
16:21:47,30.44,0.106
16:21:48,30.44,0.107
16:21:48,30.50,0.108
16:21:49,30.50,0.107
16:21:49,30.56,0.107
16:21:50,30.56,0.103
16:21:50,30.56,0.109
16:21:51,30.56,0.108
16:21:51,30.62,0.106
16:21:52,30.62,0.109
16:21:52,30.62,0.107
16:21:53,30.62,0.103
16:21:53,30.62,0.103
16:21:54,30.69,0.105
16:21:54,30.69,0.105
16:21:55,30.75,0.109
16:21:55,30.75,0.107
16:21:56,30.75,0.107
16:21:56,30.75,0.104
16:21:57,30.81,0.107
16:21:57,30.81,0.107
16:21:58,30.81,0.106
16:21:58,30.87,0.109
16:21:59,30.87,0.108
16:21:59,30.87,0.105
16:21:59,30.94,0.108
16:22:00,30.94,0.109
16:22:00,30.94,0.107
16:22:01,31.00,0.109
16:22:01,31.00,0.108
16:22:02,31.06,0.109
16:22:02,31.06,0.109
16:22:03,31.06,0.109
16:22:03,31.12,0.107
16:22:04,31.12,0.105
16:22:04,31.19,0.108
16:22:05,31.19,0.109
16:22:05,31.19,0.110
16:22:06,31.25,0.107
16:22:06,31.25,0.107
16:22:07,31.25,0.109
16:22:07,31.31,0.106
16:22:08,31.25,0.109
16:22:08,31.31,0.109
16:22:09,31.31,0.108
16:22:09,31.31,0.107
16:22:10,31.37,0.108
16:22:10,31.37,0.105
16:22:11,31.37,0.103
16:22:11,31.44,0.109
16:22:11,31.44,0.105
16:22:12,31.44,0.109
16:22:12,31.50,0.106
16:22:13,31.50,0.109
16:22:13,31.56,0.106
16:22:14,31.56,0.105
16:22:14,31.56,0.107
16:22:15,31.56,0.108
16:22:15,31.62,0.111
16:22:16,31.62,0.109
16:22:16,31.69,0.111
16:22:17,31.69,0.107
16:22:17,31.75,0.108
16:22:18,31.75,0.108
16:22:18,31.81,0.107
16:22:19,31.81,0.109
16:22:19,31.87,0.109
16:22:20,31.87,0.108
16:22:20,31.87,0.106
16:22:21,31.94,0.109
16:22:21,31.94,0.108
16:22:22,31.94,0.105
16:22:22,31.94,0.111
16:22:23,32.00,0.109
16:22:23,32.00,0.106
16:22:24,32.06,0.105
16:22:24,32.06,0.105
16:22:24,32.13,0.105
16:22:25,32.13,0.109
16:22:25,32.19,0.105
16:22:26,32.19,0.106
16:22:26,32.25,0.108
